Path,Sample,FileName,Reference,Group,Outgroup
/orcd/nese/tami/001/hackathon_raw_data/2019/D18-12108-3557G-F1/split/,3AA2C_X0874,N974S921,SepidermidisATCC12228,sepi_clade_3,0
/orcd/nese/tami/001/hackathon_raw_data/2019/D18-12108-3557G-F1/split/,3AA2C_X0875,N975S921,SepidermidisATCC12228,sepi_clade_3,0
/orcd/nese/tami/001/hackathon_raw_data/2019/D18-12108-3557G-F1/split/,3AA2C_X0887,N987S921,SepidermidisATCC12228,sepi_clade_3,0
/orcd/nese/tami/001/hackathon_raw_data/2019/D18-12108-3557G-F1/split/,3AA2C_X0896,N996S921,SepidermidisATCC12228,sepi_clade_3,0
/orcd/nese/tami/001/hackathon_raw_data/2019/D18-12108-3557G-F1/split/,3AA2C_X0873,N973S921,SepidermidisATCC12228,sepi_clade_4,0
/orcd/nese/tami/001/hackathon_raw_data/2019/D18-12108-3557G-F1/split/,3AA2C_X0877,N977S921,SepidermidisATCC12228,sepi_clade_4,0
/orcd/nese/tami/001/hackathon_raw_data/2019/D18-12108-3557G-F1/split/,3AA2C_X0879,N979S921,SepidermidisATCC12228,sepi_clade_4,0
/orcd/nese/tami/001/hackathon_raw_data/2019/D18-12108-3557G-F1/split/,3AA2C_X0880,N980S921,SepidermidisATCC12228,sepi_clade_4,0
/orcd/nese/tami/001/hackathon_raw_data/2019/D18-12108-3557G-F1/split/,3AA2C_X0882,N982S921,SepidermidisATCC12228,sepi_clade_4,0
/orcd/nese/tami/001/hackathon_raw_data/2019/D18-12108-3557G-F1/split/,3AA2C_X0884,N984S921,SepidermidisATCC12228,sepi_clade_4,0
/orcd/nese/tami/001/hackathon_raw_data/2019/D18-12108-3557G-F1/split/,3AA2C_X0888,N988S921,SepidermidisATCC12228,sepi_clade_4,0
/orcd/nese/tami/001/hackathon_raw_data/2019/D18-12108-3557G-F1/split/,3AA2C_X0891,N991S921,SepidermidisATCC12228,sepi_clade_4,0
/orcd/nese/tami/001/hackathon_raw_data/2019/D18-12108-3557G-F1/split/,3AA2C_X0892,N992S921,SepidermidisATCC12228,sepi_clade_4,0
/orcd/nese/tami/001/hackathon_raw_data/2019/D18-12108-3557G-F1/split/,3AA2C_X0893,N993S921,SepidermidisATCC12228,sepi_clade_4,0
/orcd/nese/tami/001/hackathon_raw_data/2019/SN0182042_HiSeqX/7/split/ /orcd/nese/tami/001/hackathon_raw_data/2020/200908Lie/re_demux/D20-3875-4620F/split_plex/ /orcd/nese/tami/001/hackathon_raw_data/2020/200908Lie/re_demux/D20-3875-4623R/split_plex/,2AA3C_23YBC1,N901S979,SepidermidisATCC12228,sepi_clade_3,1
/orcd/nese/tami/001/hackathon_raw_data/2019/SN0182042_HiSeqX/7/split/ /orcd/nese/tami/001/hackathon_raw_data/2020/200908Lie/re_demux/D20-3875-4620F/split_plex/ /orcd/nese/tami/001/hackathon_raw_data/2020/200908Lie/re_demux/D20-3875-4623R/split_plex/,2AA3C_23YBC2,N902S979,SepidermidisATCC12228,sepi_clade_4,1
