Path,Sample,FileName,Reference,Group,Outgroup
/scratch/mit_lieberman/raw_data/2020/200908Lie/re_demux/D20-3874-4620F/split_next/ /scratch/mit_lieberman/raw_data/2020/200908Lie/re_demux/D20-3874-4623R/split_next/,A:441-Scr-Ch-12_t60,N713S521,Pacnes_C1,1,0
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2015_Pool1/split,A:039-Ext-bcNoBl-1_t00,N709S517,Pacnes_C1,1,0
/scratch/mit_lieberman/raw_data/2020/200908Lie/re_demux/D20-3874-4620F/split_next/ /scratch/mit_lieberman/raw_data/2020/200908Lie/re_demux/D20-3874-4623R/split_next/,A:443-Scr-trBa-11_t60,N705S522,Pacnes_C1,1,0
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_07_Pool_HV2T3BGXX,F:189-Scr-crCh-3_t07,S503N719,Pacnes_C1,1,0
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2015_Pool2/split,B:089-Ext-clChBs-1_t00,N705S524,Pacnes_C1,1,0
/scratch/mit_lieberman/raw_data/2020/200908Lie/re_demux/D20-3874-4620F/split_next/ /scratch/mit_lieberman/raw_data/2020/200908Lie/re_demux/D20-3874-4623R/split_next/,A:441-Scr-Ch-12_t60,N713S521,cacnes_clade_1,2,0
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2015_Pool1/split,A:039-Ext-bcNoBl-1_t00,N709S517,cacnes_clade_1,2,0
/scratch/mit_lieberman/raw_data/2020/200908Lie/re_demux/D20-3874-4620F/split_next/ /scratch/mit_lieberman/raw_data/2020/200908Lie/re_demux/D20-3874-4623R/split_next/,A:443-Scr-trBa-11_t60,N705S522,cacnes_clade_1,2,0
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_07_Pool_HV2T3BGXX,F:189-Scr-crCh-3_t07,S503N719,cacnes_clade_1,2,1
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2015_Pool2/split,B:089-Ext-clChBs-1_t00,N705S524,cacnes_clade_1,2,1
